country_name,iso3_code,u5mr_status
Sao Tome and Principe,STP,on_track
Suriname,SUR,on_track
Slovakia,SVK,on_track
Slovenia,SVN,on_track
Sweden,SWE,on_track
South Africa,ZAF,off_track
Seychelles,SYC,on_track
Syrian Arab Republic,SYR,on_track
Turks and Caicos Islands,TCA,on_track
South Sudan,SSD,off_track
Sudan,SDN,off_track
Thailand,THA,on_track
Tajikistan,TJK,unknown
Timor-Leste,TLS,off_track
Togo,TGO,off_track
Tonga,TON,on_track
Trinidad and Tobago,TTO,on_track
Tunisia,TUN,on_track
Türkiye,TUR,on_track
Tuvalu,TUV,on_track
United Republic of Tanzania,TZA,off_track
Turkmenistan,TKM,off_track
Ukraine,UKR,on_track
Uruguay,URY,on_track
United States,USA,on_track
Uzbekistan,UZB,on_track
Saint Vincent and the Grenadines,VCT,on_track
Venezuela (Bolivarian Republic of),VEN,on_track
British Virgin Islands,VGB,on_track
Viet Nam,VNM,on_track
Vanuatu,VUT,on_track
Samoa,WSM,on_track
Uganda,UGA,off_track
Yemen,YEM,off_track
Zambia,ZMB,off_track
Zimbabwe,ZWE,off_track
